,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Gymnothorax rueppellii,37060051,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,rueppelliae,Australia,Banded moray,NW,TL,0.00135,3,0,1,FishBase,Species specific,Pilbara,invertebrate carnivore,,,54.5,American.Samoa/Australia/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Jordan/Madagascar/Maldives/Mauritius/Mozambique/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/Thailand/Tonga/Samoa,native,800,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax thyrsoideus,37060010,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,thyrsoideus,Australia,Greyface moray,NW/N/CS,TL,0.00098,3.1,0,1,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor,invertebrate carnivore,,,47.84,American.Samoa/Australia/Cambodia/China/Christmas.Island/French.Polynesia/Guam/India/Indonesia/Japan/Malaysia/Maldives/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga/Samoa,native,660,TL,4,1.857143,benthic invertivore,benthic,Hard bottom,High,Night,1,24.20924,53.21212,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax undulatus,37060053,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,undulatus,Australia,Undulate moray,NW/SW/N/CS,TL,0.00164,3,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/NA,generalist carnivore,,,78.17,"American.Samoa/Australia/Bahrain/Bangladesh/Brunei.Darussalam/Myanmar/Sri.Lanka/China/Cocos.(Keeling).Islands/Comoros/Cook.Islands/Costa.Rica/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Japan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mexico/Mozambique/Oman/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Panama/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Samoa",native,1500,TL,3.6,4,benthic invertivore,benthic,Hard bottom,High,Night,1,26.859,68,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax woodwardi,37060054,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,woodwardi,Australia,Woodward's moray,NW/SW,TL,0.00098,3.1,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,68.59,Australia,endemic,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax zonipectis,37060056,Actinopterygii,Anguilliformes,Muraenidae,Muraeninae,Gymnothorax,zonipectis,Australia,Bartail moray,NW,TL,0.00118,3,0,1,FishBase,Species specific,Ningaloo/Negros,generalist carnivore,,,37.89,American.Samoa/Australia/Christmas.Island/Cocos.(Keeling).Islands/Fiji/French.Polynesia/Guam/Indonesia/Maldives/Mauritius/Mozambique/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Tonga/Samoa,native,500,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Haletta semifasciata,37385009,Actinopterygii,Perciformes,Odacidae,,Haletta,semifasciata,Australia,Blue weed whiting,NW/SE/SW,TL,0.00692,3.08,0,1,FishBase,LWR estimates for this (Sub)family-body shape,South-East/NA,,,Least Concern,28.81,Australia,native,290,SL,3.2,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,15.59663,38,Y,C/R,,,,,,,,,,,,,,,,,,,,,,
Halichoeres argus,37384194,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,argus,Australia,Argus wrasse,NW/N/CS,FL,0.01746,2.95682,0,1,FishBase,Species specific,,,,Least Concern,21.39,Australia/Solomon.Islands/Myanmar/Sri.Lanka/Fiji/India/Indonesia/Japan/Malaysia/New.Caledonia/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga,native,120,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,,23,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres biocellatus,37384107,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,biocellatus,Australia,False-eyed wrasse,NW,TL,0.01476,3,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros,invertebrate carnivore,,Least Concern,21.39,American.Samoa/Australia/Solomon.Islands/Brunei.Darussalam/Fiji/Guam/Indonesia/Japan/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga/Samoa,native,120,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.39043,23,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres brownfieldi,37384108,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,brownfieldi,Australia,Brownfield's wrasse,NW/SW,TL,0.01,3.08,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Least Concern,24.31,Australia,native,150,TL,3.4,4.636364,benthic invertivore,Demersal,Soft sediment,Medium,Day,3,20.85159,25,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres chloropterus,37384109,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,chloropterus,Australia,Pastel-green wrasse,NW,TL,0.016,2.87,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,invertebrate carnivore,,Least Concern,33.75,Australia/Solomon.Islands/Myanmar/Cambodia/Cocos.(Keeling).Islands/Indonesia/Malaysia/New.Caledonia/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand,native,190,SL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.70009,35,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres chrysus,37384110,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,chrysus,Australia,Golden wrasse,NW/CS/TE/SE/Christmas.Island,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor/Negros,invertebrate carnivore,,Least Concern,21.39,Australia/Solomon.Islands/Brunei.Darussalam/Christmas.Island/Kiribati/Indonesia/Japan/New.Caledonia/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Tonga,native,120,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,22.93657,23,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres claudia,37384119,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,claudia,Australia,Ornamental wrasse,NW/N/CS,TL,0.0049,3.11,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,19.69,Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/French.Polynesia/Kiribati/Indonesia/Japan/New.Caledonia/Vanuatu/Papua.New.Guinea,native,88,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres hartzfeldii,37384191,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,hartzfeldii,Australia,Orangeline wrasse,NW/N/CS,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,,,,Least Concern,27.03,American.Samoa/Australia/Solomon.Islands/Brunei.Darussalam/China/Guam/Indonesia/Japan/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Samoa,native,180,TL,3.5,4.636364,benthic invertivore,Demersal,Soft sediment,Low,Day,1,19.54647,28,N,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres hortulanus,37384112,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,hortulanus,Australia,Checkerboard wrasse,NW/TE/N/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,TL,0.0119,3.064,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,invertebrate carnivore,,Least Concern,20.73,"American.Samoa/Australia/Cambodia/Sri.Lanka/China/Christmas.Island/Comoros/Cook.Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Jordan/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/United.States.Minor.Outlying.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,270,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.09069,21,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres leucurus,37384187,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,leucurus,Australia,Greyhead wrasse,N/NW,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,West,,,Least Concern,22.77,Australia/Solomon.Islands/Brunei.Darussalam/Cambodia/Indonesia/Japan/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand,native,130,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,,24,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres margaritaceus,37384113,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,margaritaceus,Australia,Pearly wrasse,CS/N/NW/SW,TL,0.01058,3,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,25.86,American.Samoa/Australia/Solomon.Islands/Brunei.Darussalam/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/New.Caledonia/New.Zealand/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Viet.Nam/Thailand/Tonga/Samoa,native,125,SL,3.7,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,24.58835,27,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres marginatus,37384114,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,marginatus,Australia,Dusky wrasse,NW/TE,TL,0.00526,3.414,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,invertebrate carnivore,,Least Concern,19.61,"American.Samoa/Australia/Bahrain/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Israel/Japan/Jordan/Kuwait/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Qatar/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,180,TL,3.3,5,benthic invertivore,Demersal,Hard bottom,Low,Day,1,25.13951,20,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres melanochir,37384115,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,melanochir,Australia,Orangefin wrasse,NW,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara,invertebrate carnivore,,Least Concern,27.03,Australia/China/Indonesia/Japan/Philippines/Viet.Nam,native,180,TL,3.4,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,27.26082,28,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres melanurus,37384032,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,melanurus,Australia,Hoeven's wrasse,NW/N/CS/TE,FL,0.00931,3.2615,0,1,FishBase,Species specific,West,,,Least Concern,21.39,Australia/Solomon.Islands/Brunei.Darussalam/Myanmar/China/Guam/Indonesia/Japan/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga/Samoa,native,120,TL,3.2,5,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.46914,23,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres melasmapomus,37384116,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,melasmapomus,Australia,Earmuff wrasse,CS/NW/Cocos.Keeling/Christmas.Island,TL,0.01,3.08,,,FishBase,LWR estimates for this Genus-body shape,,,,Least Concern,31.13,Australia/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Guam/Indonesia/Japan/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Philippines/Pitcairn/Viet.Nam/Tonga/Samoa,native,240,TL,3.5,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,,32,N,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres nebulosus,37384118,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,nebulosus,Australia,Cloud wrasse,NW/TE/N/CS/Lord.Howe.Island,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor/NSW,invertebrate carnivore,,Least Concern,21.39,"Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Fiji/India/Indonesia/Japan/Jordan/Kenya/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Egypt/Tanzania,.United.Republic.of/Yemen",native,120,TL,3.4,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,22.02685,23,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Halichoeres nigrescens,37384037,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,nigrescens,Australia,Bubblefin wrasse,NW,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Timor,invertebrate carnivore,,Least Concern,23.67,Australia/Bahrain/Sri.Lanka/China/Hong.Kong/India/Indonesia/Japan/Kuwait/Mozambique/Oman/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Yemen,native,140,TL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,2,26.68087,24,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres podostigma,,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,podostigma,Philippines,,,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Negros,invertebrate carnivore,,Least Concern,33.05,,,185,SL,3.5,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,,35,N,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres prosopeion,37384120,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,prosopeion,Philippines/Australia,Twotone wrasse,CS/N,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Negros,invertebrate carnivore,,Least Concern,26.5,American.Samoa/Australia/Solomon.Islands/Brunei.Darussalam/Fiji/Indonesia/Japan/New.Caledonia/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Tonga/Samoa,native,130,SL,3.4,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,26.42738,28,N,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres scapularis,37384121,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,scapularis,Australia,Zigzag wrasse,CS/N/SW,TL,0.00524,3.382,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,22.5,"Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/Djibouti/India/Indonesia/Japan/Jordan/Kenya/Malaysia/Maldives/Mauritius/Mozambique/Oman/Vanuatu/Palau/Papua.New.Guinea/Philippines/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Egypt/Tanzania,.United.Republic.of/Yemen",native,200,TL,3.5,4.636364,benthic invertivore,Demersal,Hard bottom,Low,Day,1,,23,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres trimaculatus,37384122,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,trimaculatus,Australia,Threespot wrasse,NW,FL,0.02749,2.73584,0,1,FishBase,Species specific,Ningaloo,invertebrate carnivore,,Least Concern,33.02,American.Samoa/Australia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Kiribati/Guam/Hong.Kong/Indonesia/Japan/New.Caledonia/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Viet.Nam/Tonga/Samoa,native,270,TL,3.5,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,25.23599,34,N,,,,,,,,Y,,,,,,,,,,,,,,,
Halichoeres zeylonicus,37384123,Actinopterygii,Perciformes,Labridae,Corinae,Halichoeres,zeylonicus,Indonesia/Australia,Goldstripe wrasse,CS/N/NW,TL,0.01,3.08,0,1,FishBase,LWR estimates for this Genus-body shape,Timor,,,Least Concern,28.6,Australia/Bahrain/Sri.Lanka/India/Indonesia/Japan/Kuwait/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Philippines/Qatar/Saudi.Arabia/Seychelles/United.Arab.Emirates/Samoa,native,200,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Halophryne diemensis,37205002,Actinopterygii,Batrachoidiformes,Batrachoididae,,Halophryne,diemensis,Australia,Banded Frogfish,NW/N/CS,TL,0.00389,3.12,0,1,FishBase,LWR estimates for this body shape,,,,,36.69,Australia/Myanmar/Cambodia/China/Indonesia/Papua.New.Guinea,native,280,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Hapalogenys dampieriensis,37350027,Actinopterygii,Perciformes,Hapalogenyidae,,Hapalogenys,dampieriensis,Australia,Australian striped velvetchin,NW,TL,0.01995,3.01,,,FishBase,LWR estimates for this body shape,Pilbara/NWS,invertebrate carnivore,,,26.6,Australia,native,300,SL,,,,,,,,,,,Y,C,,,,,,,,,,,,,,,,,,,,,,
Helcogramma decurrens,37415015,Actinopterygii,Perciformes,Tripterygiidae,,Helcogramma,decurrens,Australia,Blackthroat Threefin,SE/SW,TL,0.0055,3.08,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,10,Australia,native,45,SL,3.1,3.428571,benthic invertivore,benthic,Hard bottom,Medium,Day,1,19.72869,10,N,,,,,,,,,,,,,,,,,,,,,,,
Helcogramma striatum,37415019,Actinopterygii,Perciformes,Tripterygiidae,,Helcogramma,striatum,Australia,Striped Threefin,NW,TL,0.0055,3.08,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara,zooplanktivore,,Least Concern,10,Australia/Solomon.Islands/Myanmar/Fiji/Kiribati/Indonesia/Japan/Vanuatu/Papua.New.Guinea/Philippines/Thailand,native,43,SL,3.4,3.428571,benthic invertivore,benthic,Hard bottom,Medium,Day,1,26.39868,10,N,,,,,,,,,,,,,,,,,,,,,,,
Helicolenus barathri,37287093,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastinae,Helicolenus,barathri,Australia,Bigeye ocean perch,SE/SW,SL,0.0335,2.97,,,FishBase,Species specific,South-East/West/Southwest,,,,61.42,Australia/New.Zealand,native,365,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Helicolenus percoides,37287001,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastinae,Helicolenus,percoides,Australia,Reef ocean perch,SE/SW/TE,SL,0.0373,2.95,,,FishBase,Species specific,South-East/West/Southwest/NSW/PSGLMP,generalist carnivore,,,61.57,Australia/New.Zealand,native,470,TL,4,5.5,higher carnivore,benthic,Soft sediment,Medium,Day,1,15.14325,62,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,Y
Hemigaleus australiensis,37018020,Elasmobranchii,Carcharhiniformes,Hemigaleidae,,Hemigaleus,australiensis,Australia,Weasel shark,SW/NW/N/CS/TE,TL,0.00347,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Least Concern,47.43,Australia,native,1100,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Hemiglyphidodon plagiometopon,37372081,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Hemiglyphidodon,plagiometopon,Philippines/Australia,Lagoon damsel,NW/CS/N,TL,0.02239,2.99,0,1.01855,FishBase,LWR estimates for this (Sub)family-body shape,Negros,herbivore,,,29.01,Australia/Solomon.Islands/China/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand,native,180,TL,2,4.055556,planktivore,Demersal,Hard bottom,Medium,Day,2,26.9924,29,Y,C,,,,,,,,,,,,,,,,,,,,,,
Hemigymnus fasciatus,37384124,Actinopterygii,Perciformes,Labridae,Corinae,Hemigymnus,fasciatus,Australia,Fiveband wrasse,NW/TE/SW/N/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,TL,0.01713,3,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,invertebrate carnivore,,Least Concern,34.51,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cook.Islands/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Jordan/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,300,TL,3.2,2,benthic invertivore,Demersal,Hard bottom,Low,Day,1,25.64391,62,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Hemigymnus melapterus,37384125,Actinopterygii,Perciformes,Labridae,Corinae,Hemigymnus,melapterus,Australia,Thicklip wrasse,NW/TE/SW/N/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,FL,0.02423,2.92262,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,invertebrate carnivore,,Least Concern,49.69,"Australia/China/Christmas.Island/Cocos.(Keeling).Islands/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Japan/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,600,SL,3.3,4,benthic invertivore,Demersal,Hard bottom,Low,Day,1,25.10283,64,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Hemipristis elongata,37018011,Elasmobranchii,Carcharhiniformes,Hemigaleidae,,Hemipristis,elongata,Australia,Fossil shark,NW/SW/N/CS,TL,0.00347,3.09,0,1.232301,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara,piscivore,,Vulnerable,73,"Australia/Bahrain/Cambodia/Sri.Lanka/China/Djibouti/Hong.Kong/India/Iran.(Islamic.Republic.of)/Iraq/Israel/Jordan/Kuwait/Macao/Madagascar/Malaysia/Maldives/Mozambique/Oman/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Yemen",native,2400,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Hemiramphus robustus,37234013,Actinopterygii,Beloniformes,Hemiramphidae,,Hemiramphus,robustus,Australia,Three-by-two garfish,SW/NW/N/CS/TE,TL,0.00263,3.12,0,1.11131,FishBase,LWR estimates for this (Sub)family-body shape,,,,,24.81,Australia,native,315,SL,,,,,,,,,,,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Hemiscyllium ocellatum,37013014,Elasmobranchii,Orectolobiformes,Hemiscylliidae,,Hemiscyllium,ocellatum,Australia,Epaulette shark,NW/N/CS/TE,TL,0.00355,3.12,0,1.04762,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,45.71,Australia/Solomon.Islands/Fiji/Indonesia/Malaysia/Papua.New.Guinea,native,1070,TL,3.4,3,benthic invertivore,benthic,Hard bottom,Medium,Day,1,25.16343,46,Y,B,,,,,,,,,,,,,,,,,,,,,,
Hemiscyllium trispeculare,37013015,Elasmobranchii,Orectolobiformes,Hemiscylliidae,,Hemiscyllium,trispeculare,Australia,Speckled carpetshark,NW/N/CS,TL,0.00355,3.14,0,1.033613,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Least Concern,33.57,Australia/Papua.New.Guinea,native,790,TL,3.5,3,benthic invertivore,benthic,Hard bottom,Medium,Day,1,28.1135,34,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
Hemitaurichthys polylepis,37365074,Actinopterygii,Perciformes,Chaetodontidae,,Hemitaurichthys,polylepis,Philippines/Australia,Pyramid butterflyfish,CS/NW/N/TE/Cocos.Keeling/Christmas.Island,TL,0.02649,3,0,1,FishBase,Species specific,Negros,zooplanktivore,,Least Concern,13.79,American.Samoa/Australia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/French.Polynesia/Kiribati/Guam/Indonesia/Japan/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Tonga/Samoa,native,180,TL,3.1,3,planktivore,Demersal,Hard bottom,Medium,Day,3,26.65023,14,N,,,,,,,,,,,,,,,,,,,,,,,
Hemitriakis abdita,37017010,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhininae,Hemitriakis,abdita,Australia,Darksnout houndshark,CS,TL,0.00407,3.07,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Data Deficient,72.13,Australia/New.Caledonia,native,,,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
